sample_id,cluster,alpha,simpson,river.id,sample.type,location.id,sampling.type,replicate.id,original.id,Date,Start_Time,Time_zone,Stream_Name,Stream_Order,City,State_or_Province,Country,General_Vegetation,Weather,Hydrogeomorphology,River_Gradient,Intermittent_or_Perennial,Sediment,Distance_DS.and.MS_meters,Distance_MS.and.US_meters,Primary.Sources.Flow.Variation,pH,Temp_degC,DO_perc.sat,DO_mg.per.L,Algal.Mat.Coverage,Depositional.Type,Latitude_dec.deg,Longitude_dec.deg,Macrophyte.Coverage,Sunlight.Access_Perc.Canopy.Cover,Water.Column.Height_cm,Sampler_Organization,Associated_Site,Sampler_Name,Approx.Distance.From.Gauge_meters,Discharge_Link,US.or.DS.of.Gauge,Gauge_Latitude_dec.deg,Gauge_Longitude_dec.deg,Met.Station.Nearby,Met.Station,Precipitation.Within.Week,Number.Days.Since.Precip,Dam.Upstream.Site,Dam,Contamination.Source.Upstream,Contamination.Source,Water.Quality.Data.Available,Water.Quality.Data,Known.Data,Published.Work.On.Site,Published.Work,Notes,Study_Code,resprate_mg.L.h,resp.inc.time.min,resp.r2,resp.pval,NPOC_mg.L.asC,del2H_permil,del18O_permil,Cl_mgL,SO4_mgL,NO3_mgL,NO2_mgL,F_mgL
SW_S19S.0015_U_1,Most,2979,0.999664317,S19S.0015,SW,U,,1.0,S19S_0015_ICR.1_p05,5-Aug-19,9:48,EST,Flint River,7.0,Newton,Georgia,USA,Needleleaf deciduous tree. Broadleaf deciduous tree,Overcast. Raining. Intermittent light showers,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Sand,116.0,161.0,Natural flow (seasonal). Dam (hydropower or other). Irrigation pumping,7,28.2,88.3,6.87,,,,,,,,Battelle-NEON,National Ecological Observatory (NEON) site: FLNT,Felipe Sanchez,,https://waterdata.usgs.gov/nwis/uv?site_no=02353000,Downstream,31.30694,-84.33889,,,Yes,,Yes multiple,,,,,,,,,,WHONDRS_S19S,,,,,1.87,-19.6,-3.51,6.12,4.23,4.28,0.04,0.07
SW_S19S.0015_U_2,Most,3244,0.999691739,S19S.0015,SW,U,,2.0,S19S_0015_ICR.2_p05,5-Aug-19,9:48,EST,Flint River,7.0,Newton,Georgia,USA,Needleleaf deciduous tree. Broadleaf deciduous tree,Overcast. Raining. Intermittent light showers,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Sand,116.0,161.0,Natural flow (seasonal). Dam (hydropower or other). Irrigation pumping,7,28.2,88.3,6.87,,,,,,,,Battelle-NEON,National Ecological Observatory (NEON) site: FLNT,Felipe Sanchez,,https://waterdata.usgs.gov/nwis/uv?site_no=02353000,Downstream,31.30694,-84.33889,,,Yes,,Yes multiple,,,,,,,,,,WHONDRS_S19S,,,,,2.7,,,6.06,4.18,4.08,0.04,0.07
SW_S19S.0015_U_3,Most,3204,0.99968789,S19S.0015,SW,U,,3.0,S19S_0015_ICR.3_p05,5-Aug-19,9:48,EST,Flint River,7.0,Newton,Georgia,USA,Needleleaf deciduous tree. Broadleaf deciduous tree,Overcast. Raining. Intermittent light showers,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Sand,116.0,161.0,Natural flow (seasonal). Dam (hydropower or other). Irrigation pumping,7,28.2,88.3,6.87,,,,,,,,Battelle-NEON,National Ecological Observatory (NEON) site: FLNT,Felipe Sanchez,,https://waterdata.usgs.gov/nwis/uv?site_no=02353000,Downstream,31.30694,-84.33889,,,Yes,,Yes multiple,,,,,,,,,,WHONDRS_S19S,,,,,2.03,,,5.99,4.12,3.97,0.04,0.06
SW_S19S.0016_U_1,Least,2159,0.999536823,S19S.0016,SW,U,,1.0,S19S_0016_ICR.1_p05,12-Aug-19,9:29,CDT,King's Creek,2.0,Manhattan,Kansas,USA,Broadleaf deciduous tree. Grass,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Intermittent,Gravel/cobble (>2mm),67.0,22.0,Natural flow (seasonal),7.5,18.5,48.7,4.37,,,,,,,,Battelle-NEON D06,National Ecological Observatory (NEON) site: KING,JKukulski. EGawanda,15,,Downstream,,,No,,Yes,0,No,,No,,Yes,YSI Multisonde,,No,,,WHONDRS_S19S,,,,,1.03,-38.9,-6.01,1.9,36.2,0.12,0.04,0.36
SW_S19S.0016_U_2,Average,2109,0.999525842,S19S.0016,SW,U,,2.0,S19S_0016_ICR.2_p05,12-Aug-19,9:29,CDT,King's Creek,2.0,Manhattan,Kansas,USA,Broadleaf deciduous tree. Grass,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Intermittent,Gravel/cobble (>2mm),67.0,22.0,Natural flow (seasonal),7.5,18.5,48.7,4.37,,,,,,,,Battelle-NEON D06,National Ecological Observatory (NEON) site: KING,JKukulski. EGawanda,15,,Downstream,,,No,,Yes,0,No,,No,,Yes,YSI Multisonde,,No,,,WHONDRS_S19S,,,,,0.98,,,1.77,34.49,0.12,0.04,0.32
SW_S19S.0016_U_3,Least,2222,0.999549955,S19S.0016,SW,U,,3.0,S19S_0016_ICR.3_p05,12-Aug-19,9:29,CDT,King's Creek,2.0,Manhattan,Kansas,USA,Broadleaf deciduous tree. Grass,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Intermittent,Gravel/cobble (>2mm),67.0,22.0,Natural flow (seasonal),7.5,18.5,48.7,4.37,,,,,,,,Battelle-NEON D06,National Ecological Observatory (NEON) site: KING,JKukulski. EGawanda,15,,Downstream,,,No,,Yes,0,No,,No,,Yes,YSI Multisonde,,No,,,WHONDRS_S19S,,,,,0.85,,,1.71,33.63,0.12,0.04,0.34
SW_S19S.0017_U_1,Most,2828,0.999646393,S19S.0017,SW,U,,1.0,S19S_0017_ICR.1_p05,26-Aug-19,9:15,CDT,McDiffett Creek,3.0,Manhattan,Kansas,USA,Broadleaf deciduous tree. Crop,Overcast. Raining,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Gravel/cobble (>2mm),25.0,20.0,Natural flow (seasonal),7.5,20.7,85.4,7.3,,,,,,,,Battelle-NEON,National Ecological Observatory (NEON) site: MCDI,EGawanda. JKukulski,60,,Downstream,,,No,,Yes,0,No,,No,,Yes,EXO Multisonde,,No,,,WHONDRS_S19S,,,,,2.23,-26.9,-4.57,2.52,8.08,1.2,0.04,0.16
SW_S19S.0017_U_2,Most,3197,0.999687207,S19S.0017,SW,U,,2.0,S19S_0017_ICR.2_p05,26-Aug-19,9:15,CDT,McDiffett Creek,3.0,Manhattan,Kansas,USA,Broadleaf deciduous tree. Crop,Overcast. Raining,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Gravel/cobble (>2mm),25.0,20.0,Natural flow (seasonal),7.5,20.7,85.4,7.3,,,,,,,,Battelle-NEON,National Ecological Observatory (NEON) site: MCDI,EGawanda. JKukulski,60,,Downstream,,,No,,Yes,0,No,,No,,Yes,EXO Multisonde,,No,,,WHONDRS_S19S,,,,,3.53,,,2.45,8.04,1.28,0.04,0.14
SW_S19S.0017_U_3,Most,2806,0.999643621,S19S.0017,SW,U,,3.0,S19S_0017_ICR.3_p05,26-Aug-19,9:15,CDT,McDiffett Creek,3.0,Manhattan,Kansas,USA,Broadleaf deciduous tree. Crop,Overcast. Raining,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Gravel/cobble (>2mm),25.0,20.0,Natural flow (seasonal),7.5,20.7,85.4,7.3,,,,,,,,Battelle-NEON,National Ecological Observatory (NEON) site: MCDI,EGawanda. JKukulski,60,,Downstream,,,No,,Yes,0,No,,No,,Yes,EXO Multisonde,,No,,,WHONDRS_S19S,,,,,2.6,,,2.43,8.25,1.27,0.04,0.19
SW_S19S.0018_U_3,Average,2448,0.999591503,S19S.0018,SW,U,,3.0,S19S_0018_ICR.3_p05,5-Aug-19,11:25,EDT,LeConte Creek,2.0,Gatlinburg,Tennessee,USA,Needleleaf evergreen tree. Broadleaf deciduous tree,Partly cloudy,Single-channel straight,Relatively steep gradient (e.g. mountainous or hilly terrain),Perennial,Gravel/cobble (>2mm),40.8,45.5,Natural flow (seasonal). Evapotranspiration,6.5,18.3,103.2,9.8,,,,,,,,Battelle-NEON D07,National Ecological Observatory (NEON) site: LECO,Geoff Schwaner,40.8,https://data.neonscience.org/home,Downstream,35.692194,-83.504417,Yes,https://data.neonscience.org/home,Yes,1,,,No,,,,,,,,WHONDRS_S19S,,,,,0.86,,,0.39,1.52,0.71,0.04,0.06
SW_S19S.0019_U_1,Least,962,0.998960499,S19S.0019,SW,U,,1.0,S19S_0019_ICR.1_p05,19-May-19,9:30,EST,Walker Branch,1.0,Oak Ridge,Tennessee,USA,Broadleaf deciduous tree,Partly cloudy,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Gravel/cobble (>2mm),34.0,42.5,Natural flow (seasonal). Evapotranspiration,8,18.3,121.9,11.46,,,,,,,,Battelle-NEON D07,National Ecological Observatory (NEON) site: WALK,Geoff Schwaner,50,https://data.neonscience.org/home,Downstream,35.95722,-84.279151,Yes,https://data.neonscience.org/home,Yes,1,No,,No,,,,,,,,WHONDRS_S19S,,,,,0.45,-34.5,-6.15,0.81,1.56,0.23,0.04,0.05
SW_S19S.0019_U_3,Average,2070,0.999516908,S19S.0019,SW,U,,3.0,S19S_0019_ICR.3_p05,19-May-19,9:30,EST,Walker Branch,1.0,Oak Ridge,Tennessee,USA,Broadleaf deciduous tree,Partly cloudy,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Gravel/cobble (>2mm),34.0,42.5,Natural flow (seasonal). Evapotranspiration,8,18.3,121.9,11.46,,,,,,,,Battelle-NEON D07,National Ecological Observatory (NEON) site: WALK,Geoff Schwaner,50,https://data.neonscience.org/home,Downstream,35.95722,-84.279151,Yes,https://data.neonscience.org/home,Yes,1,No,,No,,,,,,,,WHONDRS_S19S,,,,,0.45,,,0.89,1.72,0.24,0.04,0.05
SW_S19S.0020_U_1,Most,3330,0.9996997,S19S.0020,SW,U,,1.0,S19S_0020_ICR.1_p05,19-Aug-19,12:40,CST,Tombigbee River,7.0,Toxey AL,Alabama,USA,Needleleaf evergreen tree. Broadleaf deciduous tree,Sunny,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Sand,10.0,11.3,Natural flow (seasonal),7.5,30.5,93.4,6.61,,,,,,,,Battelle-NEON D08,National Ecological Observatory (NEON) site: TOMB,Jamie Galloway,30,https://data.neonscience.org/home,Upstream,,,Yes,https://data.neonscience.org/home (TOMB),No,,Yes multiple,,Yes,This river has tons of input from factories and agriculture. ,Yes,https://data.neonscience.org/home,140 - 200 NEON data https://data.neonscience.org/home,,,Rinsed raw vials 3 times before sampling; occasional boats passing while sampling - waited ~ 5 minutes after wake ; used 2 sterivex filters. ,WHONDRS_S19S,,,,,4.01,-16.6,-2.62,11.81,36.24,0.38,0.04,0.09
SW_S19S.0020_U_2,Most,3202,0.999687695,S19S.0020,SW,U,,2.0,S19S_0020_ICR.2_p05,19-Aug-19,12:40,CST,Tombigbee River,7.0,Toxey AL,Alabama,USA,Needleleaf evergreen tree. Broadleaf deciduous tree,Sunny,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Sand,10.0,11.3,Natural flow (seasonal),7.5,30.5,93.4,6.61,,,,,,,,Battelle-NEON D08,National Ecological Observatory (NEON) site: TOMB,Jamie Galloway,30,https://data.neonscience.org/home,Upstream,,,Yes,https://data.neonscience.org/home (TOMB),No,,Yes multiple,,Yes,This river has tons of input from factories and agriculture. ,Yes,https://data.neonscience.org/home,140 - 200 NEON data https://data.neonscience.org/home,,,Rinsed raw vials 3 times before sampling; occasional boats passing while sampling - waited ~ 5 minutes after wake ; used 2 sterivex filters. ,WHONDRS_S19S,,,,,3.09,,,11.77,36.68,0.28,0.04,0.09
SW_S19S.0020_U_3,Most,3258,0.999693063,S19S.0020,SW,U,,3.0,S19S_0020_ICR.3_p05,19-Aug-19,12:40,CST,Tombigbee River,7.0,Toxey AL,Alabama,USA,Needleleaf evergreen tree. Broadleaf deciduous tree,Sunny,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Sand,10.0,11.3,Natural flow (seasonal),7.5,30.5,93.4,6.61,,,,,,,,Battelle-NEON D08,National Ecological Observatory (NEON) site: TOMB,Jamie Galloway,30,https://data.neonscience.org/home,Upstream,,,Yes,https://data.neonscience.org/home (TOMB),No,,Yes multiple,,Yes,This river has tons of input from factories and agriculture. ,Yes,https://data.neonscience.org/home,140 - 200 NEON data https://data.neonscience.org/home,,,Rinsed raw vials 3 times before sampling; occasional boats passing while sampling - waited ~ 5 minutes after wake ; used 2 sterivex filters. ,WHONDRS_S19S,,,,,4.33,,,11.76,36.38,0.34,0.04,0.09
SW_S19S.0021_U_1,Most,3104,0.999677835,S19S.0021,SW,U,,1.0,S19S_0021_ICR.1_p05,20-Aug-19,12:13,CST,Black Warrior,6.0,Demopolis,Alabama,USA,Needleleaf evergreen tree. Broadleaf deciduous tree,Sunny,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Silt/mud (<0.0625mm),18.0,28.2,Natural flow (seasonal),7.5,33.4,90.5,6.55,,,,,,,,Battelle-NEON D08,National Ecological Observatory (NEON) site: BLWA,Jamie Galloway,30,https://data.neonscience.org/home,Upstream,,,Yes,https://data.neonscience.org/home,No,,Yes multiple,,Yes,agriculture and industry are prevalent along this river.,Yes,https://data.neonscience.org/home,100 - 150,Yes,https://data.neonscience.org/home,Rinsed raw bottles 3x. sampled from side of boat following protocol.,WHONDRS_S19S,,,,,1.36,-22.0,-3.75,13.06,64.12,0.12,0.04,0.11
SW_S19S.0021_U_2,Most,3382,0.999704317,S19S.0021,SW,U,,2.0,S19S_0021_ICR.2_p05,20-Aug-19,12:13,CST,Black Warrior,6.0,Demopolis,Alabama,USA,Needleleaf evergreen tree. Broadleaf deciduous tree,Sunny,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Silt/mud (<0.0625mm),18.0,28.2,Natural flow (seasonal),7.5,33.4,90.5,6.55,,,,,,,,Battelle-NEON D08,National Ecological Observatory (NEON) site: BLWA,Jamie Galloway,30,https://data.neonscience.org/home,Upstream,,,Yes,https://data.neonscience.org/home,No,,Yes multiple,,Yes,agriculture and industry are prevalent along this river.,Yes,https://data.neonscience.org/home,100 - 150,Yes,https://data.neonscience.org/home,Rinsed raw bottles 3x. sampled from side of boat following protocol.,WHONDRS_S19S,,,,,1.49,,,13.64,63.66,0.12,0.04,0.12
SW_S19S.0021_U_3,Most,3255,0.99969278,S19S.0021,SW,U,,3.0,S19S_0021_ICR.3_p05,20-Aug-19,12:13,CST,Black Warrior,6.0,Demopolis,Alabama,USA,Needleleaf evergreen tree. Broadleaf deciduous tree,Sunny,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Silt/mud (<0.0625mm),18.0,28.2,Natural flow (seasonal),7.5,33.4,90.5,6.55,,,,,,,,Battelle-NEON D08,National Ecological Observatory (NEON) site: BLWA,Jamie Galloway,30,https://data.neonscience.org/home,Upstream,,,Yes,https://data.neonscience.org/home,No,,Yes multiple,,Yes,agriculture and industry are prevalent along this river.,Yes,https://data.neonscience.org/home,100 - 150,Yes,https://data.neonscience.org/home,Rinsed raw bottles 3x. sampled from side of boat following protocol.,WHONDRS_S19S,,,,,1.84,,,13.04,64.18,0.12,0.04,0.1
SW_S19S.0022_U_1,Average,2122,0.999528746,S19S.0022,SW,U,,1.0,S19S_0022_ICR.1_p05,5-Aug-19,9:25,CST,Mayfield Creek,7.0,Moundville,Alabama,USA,Broadleaf evergreen tree. Broadleaf deciduous tree,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Sand,19.5,10.3,Natural flow (seasonal),7,22.3,84.9,7.45,,,,,,,,Battelle-NEON D08,National Ecological Observatory (NEON) site: MAYF,Jamie Galloway,20,https://data.neonscience.org/home,Downstream,,,Yes,https://data.neonscience.org/home - Mayfield Creek Meteorological Station,Yes,2,No,,No,,No,,14 - 16,Yes,,Rinsed raw water sample containers with stream water 3x - not stated in protocol. Downstream site was below a mid-channel island. This stream contains a lot of woody debris. ,WHONDRS_S19S,,,,,1.95,-20.2,-4.31,1.49,0.54,0.12,0.04,0.07
SW_S19S.0022_U_2,Average,2563,0.999609832,S19S.0022,SW,U,,2.0,S19S_0022_ICR.2_p05,5-Aug-19,9:25,CST,Mayfield Creek,7.0,Moundville,Alabama,USA,Broadleaf evergreen tree. Broadleaf deciduous tree,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Sand,19.5,10.3,Natural flow (seasonal),7,22.3,84.9,7.45,,,,,,,,Battelle-NEON D08,National Ecological Observatory (NEON) site: MAYF,Jamie Galloway,20,https://data.neonscience.org/home,Downstream,,,Yes,https://data.neonscience.org/home - Mayfield Creek Meteorological Station,Yes,2,No,,No,,No,,14 - 16,Yes,,Rinsed raw water sample containers with stream water 3x - not stated in protocol. Downstream site was below a mid-channel island. This stream contains a lot of woody debris. ,WHONDRS_S19S,,,,,2.39,,,1.45,0.69,0.17,0.04,0.07
SW_S19S.0022_U_3,Most,2429,0.999588308,S19S.0022,SW,U,,3.0,S19S_0022_ICR.3_p05,5-Aug-19,9:25,CST,Mayfield Creek,7.0,Moundville,Alabama,USA,Broadleaf evergreen tree. Broadleaf deciduous tree,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Perennial,Sand,19.5,10.3,Natural flow (seasonal),7,22.3,84.9,7.45,,,,,,,,Battelle-NEON D08,National Ecological Observatory (NEON) site: MAYF,Jamie Galloway,20,https://data.neonscience.org/home,Downstream,,,Yes,https://data.neonscience.org/home - Mayfield Creek Meteorological Station,Yes,2,No,,No,,No,,14 - 16,Yes,,Rinsed raw water sample containers with stream water 3x - not stated in protocol. Downstream site was below a mid-channel island. This stream contains a lot of woody debris. ,WHONDRS_S19S,,,,,1.62,,,1.46,0.68,0.12,0.04,0.05
SW_S19S.0023_U_1,Most,2534,0.999605367,S19S.0023,SW,U,,1.0,S19S_0023_ICR.1_p05,6-Aug-19,11:38,MST,Arikaree River,4.0,Idalia,Colorado,USA,Broadleaf deciduous tree. Grass,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Intermittent,Sand,21.0,36.0,Natural flow (seasonal). Irrigation pumping,7.5,24.7,52.7,3.83,,,,,,,,Battelle-NEON,National Ecological Observatory (NEON) site: ARIK,Richard Lehrter,10,data.neonscience.org,Upstream,39.7584,-102.44859,Yes,https://data.neonscience.org/home,No,,No,,No,,Yes,https://data.neonscience.org/home,https://data.neonscience.org/home,Yes,https://data.neonscience.org/home,,WHONDRS_S19S,,,,,3.6,-69.4,-8.69,4.86,1.55,0.19,0.04,1.31
SW_S19S.0023_U_2,Most,2820,0.99964539,S19S.0023,SW,U,,2.0,S19S_0023_ICR.2_p05,6-Aug-19,11:38,MST,Arikaree River,4.0,Idalia,Colorado,USA,Broadleaf deciduous tree. Grass,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Intermittent,Sand,21.0,36.0,Natural flow (seasonal). Irrigation pumping,7.5,24.7,52.7,3.83,,,,,,,,Battelle-NEON,National Ecological Observatory (NEON) site: ARIK,Richard Lehrter,10,data.neonscience.org,Upstream,39.7584,-102.44859,Yes,https://data.neonscience.org/home,No,,No,,No,,Yes,https://data.neonscience.org/home,https://data.neonscience.org/home,Yes,https://data.neonscience.org/home,,WHONDRS_S19S,,,,,4.76,,,4.62,1.52,0.12,0.04,1.23
SW_S19S.0023_U_3,Most,3190,0.99968652,S19S.0023,SW,U,,3.0,S19S_0023_ICR.3_p05,6-Aug-19,11:38,MST,Arikaree River,4.0,Idalia,Colorado,USA,Broadleaf deciduous tree. Grass,Sunny,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Intermittent,Sand,21.0,36.0,Natural flow (seasonal). Irrigation pumping,7.5,24.7,52.7,3.83,,,,,,,,Battelle-NEON,National Ecological Observatory (NEON) site: ARIK,Richard Lehrter,10,data.neonscience.org,Upstream,39.7584,-102.44859,Yes,https://data.neonscience.org/home,No,,No,,No,,Yes,https://data.neonscience.org/home,https://data.neonscience.org/home,Yes,https://data.neonscience.org/home,,WHONDRS_S19S,,,,,4.97,,,4.7,1.55,0.12,0.04,1.24
SW_S19S.0024_U_1,Least,1140,0.999122807,S19S.0024,SW,U,,1.0,S19S_0024_ICR.1_p05,18-Aug-19,12:40,CDT,Blue River,4.0,Connerville,Oklahoma,USA,Broadleaf deciduous tree. Grass,Sunny,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Bedrock (primarily),27.0,23.0,Natural flow (seasonal),7,25.9,101.7,8.68,,,,,,,,Battelle-NEON,National Ecological Observatory (NEON) site: BLUE,Kaitlan Jones,10931,https://waterdata.usgs.gov/ok/nwis/uv?site_no=07332390,Upstream,34.38341,-96.59999,Yes,https://data.neonscience.org/browse-data?showAllDates=true&showAllSites=true&showTheme=atmos,Yes,5,No,,No,,Yes,"Elevation of surface water
Nitrate in surface water
Photosynthetically active radiation below water surface
Stream discharge
Stream discharge rating curve
Surface water data
Temperature (PRT) in surface water
Temperature at specific depth in surface water
Aquatic Stable Isotopes
Dissolved Gas
pH
Aquatic Microbes
Reaeration",401-585,No,,Did not obtain a picture of the upstream sediment sample,WHONDRS_S19S,,,,,0.66,-28.7,-4.86,2.79,5.13,1.71,0.04,0.08
SW_S19S.0025_U_1,Most,2604,0.999615975,S19S.0025,SW,U,,1.0,S19S_0025_ICR.1_p05,6-Aug-19,10:15,CDT,Pringle Creek,3.0,Alvord,Texas,USA,Needleleaf evergreen tree. Broadleaf deciduous tree,Sunny. Partly cloudy,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Sand,29.3,33.5,Natural flow (seasonal). Evapotranspiration. Occasional seasonal drying due to arid conditions,7,26,62.2,5.04,,,,,,,,Battelle-NEON,National Ecological Observatory (NEON) site: PRIN,Kaitlan Jones,100,https://data.neonscience.org/browse-data?showAllDates=true&showAllSites=true&showTheme=eco,Downstream,33.3784,-97.7836,Yes,https://data.neonscience.org/browse-data?showAllDates=true&showAllSites=true&showTheme=eco,Yes,0,No,,No,,Yes,Stable Isotopes. Dissolved Gases. Aquatic Microbes. Temperature. Specific Conductivity. Dissolved Oxygen %. Dissolved Oxygen mg/L. pH. Chlorophyll-a. Turbidity. fDOM. Elevation. Nitrates. Photosynthetically active radiation. Stream discharge. Reaeration,344-1094 SpC Range,No,,Due to low water depth conditions water samples were taken at a different location downstream of where the sediment downstream samples were collected. There are more pictures and data if needed for both of these downstream sites.,WHONDRS_S19S,,,,,1.94,-25.9,-4.11,100.78,27.12,0.12,0.04,0.19
SW_S19S.0025_U_2,Most,2628,0.999619482,S19S.0025,SW,U,,2.0,S19S_0025_ICR.2_p05,6-Aug-19,10:15,CDT,Pringle Creek,3.0,Alvord,Texas,USA,Needleleaf evergreen tree. Broadleaf deciduous tree,Sunny. Partly cloudy,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Sand,29.3,33.5,Natural flow (seasonal). Evapotranspiration. Occasional seasonal drying due to arid conditions,7,26,62.2,5.04,,,,,,,,Battelle-NEON,National Ecological Observatory (NEON) site: PRIN,Kaitlan Jones,100,https://data.neonscience.org/browse-data?showAllDates=true&showAllSites=true&showTheme=eco,Downstream,33.3784,-97.7836,Yes,https://data.neonscience.org/browse-data?showAllDates=true&showAllSites=true&showTheme=eco,Yes,0,No,,No,,Yes,Stable Isotopes. Dissolved Gases. Aquatic Microbes. Temperature. Specific Conductivity. Dissolved Oxygen %. Dissolved Oxygen mg/L. pH. Chlorophyll-a. Turbidity. fDOM. Elevation. Nitrates. Photosynthetically active radiation. Stream discharge. Reaeration,344-1094 SpC Range,No,,Due to low water depth conditions water samples were taken at a different location downstream of where the sediment downstream samples were collected. There are more pictures and data if needed for both of these downstream sites.,WHONDRS_S19S,,,,,2.23,,,105.86,28.6,0.12,0.04,0.23
SW_S19S.0025_U_3,Most,2617,0.999617883,S19S.0025,SW,U,,3.0,S19S_0025_ICR.3_p05,6-Aug-19,10:15,CDT,Pringle Creek,3.0,Alvord,Texas,USA,Needleleaf evergreen tree. Broadleaf deciduous tree,Sunny. Partly cloudy,Single-channel straight,Relatively flat/gentle gradient (e.g. valleys),Perennial,Sand,29.3,33.5,Natural flow (seasonal). Evapotranspiration. Occasional seasonal drying due to arid conditions,7,26,62.2,5.04,,,,,,,,Battelle-NEON,National Ecological Observatory (NEON) site: PRIN,Kaitlan Jones,100,https://data.neonscience.org/browse-data?showAllDates=true&showAllSites=true&showTheme=eco,Downstream,33.3784,-97.7836,Yes,https://data.neonscience.org/browse-data?showAllDates=true&showAllSites=true&showTheme=eco,Yes,0,No,,No,,Yes,Stable Isotopes. Dissolved Gases. Aquatic Microbes. Temperature. Specific Conductivity. Dissolved Oxygen %. Dissolved Oxygen mg/L. pH. Chlorophyll-a. Turbidity. fDOM. Elevation. Nitrates. Photosynthetically active radiation. Stream discharge. Reaeration,344-1094 SpC Range,No,,Due to low water depth conditions water samples were taken at a different location downstream of where the sediment downstream samples were collected. There are more pictures and data if needed for both of these downstream sites.,WHONDRS_S19S,,,,,1.34,,,99.36,26.51,0.12,0.04,0.2
SW_S19S.0026_U_1,Average,1926,0.999480789,S19S.0026,SW,U,,1.0,S19S_0026_ICR.1_p05,5-Aug-19,10:32,MDT,Como Creek,1.0,Nederland,Colorado,USA,Needleleaf evergreen tree. Broadleaf deciduous tree,Sunny. Partly cloudy,Single-channel meandering,Relatively steep gradient (e.g. mountainous or hilly terrain),Perennial,Bedrock (primarily),40.0,18.0,Natural flow (seasonal),6,9.5,98.9,8.25,,,,,,,,Battelle-NEON,National Ecological Observatory (NEON) site: COMO,Zack Lafaver/Hannah Schartel,90,https://data.neonscience.org/home,Downstream,40.03498,-105.54436,Yes,NOAA,Yes,,No,,No,,Yes,,https://data.neonscience.org/home,Yes,,,WHONDRS_S19S,,,,,3.75,-125.8,-17.17,0.16,1.22,0.12,0.04,0.04
SW_S19S.0026_U_2,Average,1808,0.999446903,S19S.0026,SW,U,,2.0,S19S_0026_ICR.2_p05,5-Aug-19,10:32,MDT,Como Creek,1.0,Nederland,Colorado,USA,Needleleaf evergreen tree. Broadleaf deciduous tree,Sunny. Partly cloudy,Single-channel meandering,Relatively steep gradient (e.g. mountainous or hilly terrain),Perennial,Bedrock (primarily),40.0,18.0,Natural flow (seasonal),6,9.5,98.9,8.25,,,,,,,,Battelle-NEON,National Ecological Observatory (NEON) site: COMO,Zack Lafaver/Hannah Schartel,90,https://data.neonscience.org/home,Downstream,40.03498,-105.54436,Yes,NOAA,Yes,,No,,No,,Yes,,https://data.neonscience.org/home,Yes,,,WHONDRS_S19S,,,,,3.32,,,0.16,0.55,0.12,0.04,0.03
SW_S19S.0026_U_3,Average,2849,0.999649,S19S.0026,SW,U,,3.0,S19S_0026_ICR.3_p05,5-Aug-19,10:32,MDT,Como Creek,1.0,Nederland,Colorado,USA,Needleleaf evergreen tree. Broadleaf deciduous tree,Sunny. Partly cloudy,Single-channel meandering,Relatively steep gradient (e.g. mountainous or hilly terrain),Perennial,Bedrock (primarily),40.0,18.0,Natural flow (seasonal),6,9.5,98.9,8.25,,,,,,,,Battelle-NEON,National Ecological Observatory (NEON) site: COMO,Zack Lafaver/Hannah Schartel,90,https://data.neonscience.org/home,Downstream,40.03498,-105.54436,Yes,NOAA,Yes,,No,,No,,Yes,,https://data.neonscience.org/home,Yes,,,WHONDRS_S19S,,,,,3.44,,,0.16,1.2,0.12,0.04,0.04
